STOCK_DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,ADJ_CLOSE_PRICE,VOLUME,TICKER
2006-05-03,2.57,2.57,2.54,2.54,2.13,686991200,AAPL
2006-05-04,2.57,2.60,2.52,2.54,2.13,860420400,AAPL
2006-05-05,2.57,2.58,2.54,2.57,2.16,563911600,AAPL
2006-05-08,2.61,2.64,2.56,2.57,2.16,594851600,AAPL
2006-05-09,2.57,2.59,2.52,2.54,2.13,531666800,AAPL
2006-05-10,2.55,2.55,2.49,2.52,2.12,459888800,AAPL
2006-05-11,2.42,2.45,2.39,2.42,2.03,641774000,AAPL
2006-05-12,2.42,2.45,2.39,2.42,2.03,641774000,AAPL
2006-05-15,2.41,2.44,2.40,2.42,2.03,529177600,AAPL
2006-05-16,2.43,2.44,2.31,2.32,1.95,936740000,AAPL
2006-05-17,2.31,2.35,2.29,2.33,1.96,754194000,AAPL
2006-05-18,2.35,2.37,2.25,2.26,1.89,658442400,AAPL
2006-05-19,2.32,2.34,2.30,2.31,1.94,985866000,AAPL
2006-05-22,2.28,2.29,2.24,2.26,1.90,718975600,AAPL
2006-05-23,2.32,2.33,2.25,2.26,1.89,694414000,AAPL
2006-05-24,2.30,2.30,2.26,2.30,1.93,916031200,AAPL
2006-05-25,2.30,2.30,2.26,2.30,1.93,463372000,AAPL
2006-05-26,2.30,2.31,2.26,2.27,1.91,432950000,AAPL
2006-05-30,2.26,2.26,2.19,2.19,1.84,563402000,AAPL
2006-05-31,2.21,2.21,2.10,2.13,1.79,1280977600,AAPL
